Code,Description1,Description2,Last_Updated
CE001007,Amcc test has been ordered by an esrd facility or mcp physician that is a       Med neces amcc tst sep reimb,Med neces amcc tst sep reimb                           4270.2,09-09-2025
CE002008,composite rate test but is beyond the normal frequency covered under the rate,,09-09-2025
CE003008,and is separately reimbursable based on medical necessity,,09-09-2025
CF001007,Amcc test has been ordered by an esrd facility or mcp physician that is not     Amcc tst not composite rate,Amcc tst not composite rate                            4270.2,09-09-2025
CF002008,part of the composite rate and is separately billable,,09-09-2025
CG001007,Policy criteria applied                                                         Policy criteria applied,Policy criteria applied,09-09-2025
CH001007,"0 percent impaired, limited or restricted                                       0 percent impaired, ltd, res","0 percent impaired, ltd, res",09-09-2025
CI001007,"At least 1 percent but less than 20 percent impaired, limited or restricted     1 to <20 percent impaired",1 to <20 percent impaired,09-09-2025
CJ001007,"At least 20 percent but less than 40 percent impaired, limited or restricted    20 to <40 percent impaired",20 to <40 percent impaired,09-09-2025
CK001007,"At least 40 percent but less than 60 percent impaired, limited or restricted    40 to <60 percent impaired",40 to <60 percent impaired,09-09-2025
CL001007,"At least 60 percent but less than 80 percent impaired, limited or restricted    60 to <80 percent impaired",60 to <80 percent impaired,09-09-2025
CM001007,"At least 80 percent but less than 100 percent impaired, limited or restricted   80 to <100 percent impaired",80 to <100 percent impaired,09-09-2025
CN001007,"100 percent impaired, limited or restricted                                     100 percent impaired, ltd","100 percent impaired, ltd",09-09-2025
CO001007,Outpatient occupational therapy services furnished in whole or in part by an    Outpatient ot service by ota,Outpatient ot service by ota,09-09-2025
CO002008,occupational therapy assistant,,09-09-2025
CP001007,Adjunctive service related to a procedure assigned to a comprehensive           C-apc adjunctive service,C-apc adjunctive service,09-09-2025
CP002008,"ambulatory payment classification (c-apc) procedure, but reported on a",,09-09-2025
CP003008,different claim,,09-09-2025
CQ001007,Outpatient physical therapy services furnished in whole or in part by a         Outpatient pt service by pta,Outpatient pt service by pta,09-09-2025
CQ002008,physical therapist assistant,,09-09-2025
CR001007,Catastrophe/disaster related                                                    Catastrophe/disaster related,Catastrophe/disaster related,09-09-2025
CS001007,Cost-sharing waived for specified covid-19 testing-related services that result Cost share waiver covid-19,Cost share waiver covid-19,09-09-2025
CS002008,in and order for or administration of a covid-19 test and/or used for,,09-09-2025
CS003008,cost-sharing waived preventive services furnished via telehealth in rural,,09-09-2025
CS004008,health clinics and federally qualified health centers during the covid-19,,09-09-2025
CS005008,public health emergency,,09-09-2025
CT001007,Computed tomography services furnished using equipment that does not meet each  Ct does not meet nema standa,Ct does not meet nema standa,09-09-2025
CT002008,of the attributes of the national electrical manufacturers association (nema),,09-09-2025
CT003008,xr-29-2013 standard,,09-09-2025
DA001007,"Oral health assessment by a licensed health professional other than a dentist   Oral health assess, not dent","Oral health assess, not dent",09-09-2025
E1001007,"Upper left, eyelid                                                              Upper left eyelid",Upper left eyelid,09-09-2025
E2001007,"Lower left, eyelid                                                              Lower left eyelid",Lower left eyelid,09-09-2025
E3001007,"Upper right, eyelid                                                             Upper right eyelid",Upper right eyelid,09-09-2025
E4001007,"Lower right, eyelid                                                             Lower right eyelid",Lower right eyelid,09-09-2025
EA001007,"Erythropoietic stimulating agent (esa) administered to treat anemia due to      Esa, anemia, chemo-induced","Esa, anemia, chemo-induced",09-09-2025
EA002008,anti-cancer chemotherapy,,09-09-2025
EB001007,"Erythropoietic stimulating agent (esa) administered to treat anemia due to      Esa, anemia, radio-induced","Esa, anemia, radio-induced",09-09-2025
EB002008,anti-cancer radiotherapy,,09-09-2025
EC001007,"Erythropoietic stimulating agent (esa) administered to treat anemia not due to  Esa, anemia, non-chemo/radio","Esa, anemia, non-chemo/radio",09-09-2025
EC002008,anti-cancer radiotherapy or anti-cancer chemotherapy,,09-09-2025
ED001007,Hematocrit level has exceeded 39% (or hemoglobin level has exceeded 13.0 g/dl)  Hct>39% or hgb>13g>=3 cycle,Hct>39% or hgb>13g>=3 cycle,09-09-2025
ED002008,for 3 or more consecutive billing cycles immediately prior to and including the,,09-09-2025
ED003008,current cycle,,09-09-2025
EE001007,Hematocrit level has not exceeded 39% (or hemoglobin level has not exceeded     Hct>39% or hgb>13g<3 cycle,Hct>39% or hgb>13g<3 cycle,09-09-2025
EE002008,13.0 g/dl) for 3 or more consecutive billing cycles immediately prior to and,,09-09-2025
EE003008,including the current cycle,,09-09-2025
EJ001007,"Subsequent claims for a defined course of therapy, e.g., epo, sodium            Subsequent claim",Subsequent claim                                       4273.2,09-09-2025
EJ002008,"hyaluronate, infliximab",,09-09-2025
EM001007,Emergency reserve supply (for esrd benefit only)                                Emer reserve supply (esrd),Emer reserve supply (esrd)                             3045.7,09-09-2025
EP001007,Service provided as part of medicaid early periodic screening diagnosis and     Medicaid epsdt program svc,Medicaid epsdt program svc,09-09-2025
EP002008,treatment (epsdt) program,,09-09-2025
ER001007,"Items and services furnished by a provider-based, off-campus emergency          Off-campus ed service",Off-campus ed service,09-09-2025
ER002008,department,,09-09-2025
ET001007,Emergency services                                                              Emergency services,Emergency services,09-09-2025
EX001007,Expatriate beneficiary                                                          Expatriate beneficiary,Expatriate beneficiary,09-09-2025
EY001007,No physician or other licensed health care provider order for this item or      No md order for item/service,No md order for item/service,09-09-2025
EY002008,service,,09-09-2025
F1001007,"Left hand, second digit                                                         Left hand, second digit","Left hand, second digit",09-09-2025
F2001007,"Left hand, third digit                                                          Left hand, third digit","Left hand, third digit",09-09-2025
F3001007,"Left hand, fourth digit                                                         Left hand, fourth digit","Left hand, fourth digit",09-09-2025
F4001007,"Left hand, fifth digit                                                          Left hand, fifth digit","Left hand, fifth digit",09-09-2025
F5001007,"Right hand, thumb                                                               Right hand, thumb","Right hand, thumb",09-09-2025
F6001007,"Right hand, second digit                                                        Right hand, second digit","Right hand, second digit",09-09-2025
F7001007,"Right hand, third digit                                                         Right hand, third digit","Right hand, third digit",09-09-2025
F8001007,"Right hand, fourth digit                                                        Right hand, fourth digit","Right hand, fourth digit",09-09-2025
F9001007,"Right hand, fifth digit                                                         Right hand, fifth digit","Right hand, fifth digit",09-09-2025
FA001007,"Left hand, thumb                                                                Left hand, thumb","Left hand, thumb",09-09-2025
FB001007,"Item provided without cost to provider, supplier or practitioner, or full       Item provided without cost",Item provided without cost,09-09-2025
FB002008,"credit received for replaced device (examples, but not limited to, covered",,09-09-2025
FB003008,"under warranty, replaced due to defect, free samples)",,09-09-2025
FC001007,"Partial credit received for replaced device                                     Part credit, replaced device","Part credit, replaced device",09-09-2025
FP001007,Service provided as part of family planning program                             Svc part of family plan pgm,Svc part of family plan pgm,09-09-2025
FQ001007,The service was furnished using audio-only communication technology             Audio-only service,Audio-only service,09-09-2025
FR001007,"The supervising practitioner was present through two-way, audio/video           Two-way a/v dir supervision",Two-way a/v dir supervision,09-09-2025
FR002008,communication technology,,09-09-2025
FS001007,Split (or shared) evaluation and management visit                               Split or shared e/m visit,Split or shared e/m visit,09-09-2025
FT001007,"Unrelated evaluation and management (e/m) visit on the same day as another e/m  Separate, unrelated e/m","Separate, unrelated e/m",09-09-2025
FT002008,"visit or during a global procedure (preoperative, postoperative period, or on",,09-09-2025
FT003008,"the same day as the procedure, as applicable). (report when an e/m visit is",,09-09-2025
FT004008,"furnished within the global period but is unrelated, or when one or more",,09-09-2025
FT005008,additional e/m visits furnished on the same day are unrelated),,09-09-2025
FX001007,X-ray taken using film                                                          X-ray taken using film,X-ray taken using film,09-09-2025
FY001007,X-ray taken using computed radiography technology/cassette-based imaging        Computed radiography x-ray,Computed radiography x-ray,09-09-2025
G0001007,"Telehealth services for diagnosis, evaluation, or treatment, of symptoms of an  Telestroke",Telestroke,09-09-2025
G0002008,acute stroke,,09-09-2025
G1001007,Most recent urr reading of less than 60                                         Urr reading of less than 60,Urr reading of less than 60,09-09-2025
G2001007,Most recent urr reading of 60 to 64.9                                           Urr reading of 60 to 64.9,Urr reading of 60 to 64.9,09-09-2025
G3001007,Most recent urr reading of 65 to 69.9                                           Urr  reading of 65 to 69.9,Urr  reading of 65 to 69.9,09-09-2025
G4001007,Most recent urr reading of 70 to 74.9                                           Urr reading of 70 to 74.9,Urr reading of 70 to 74.9,09-09-2025
G5001007,Most recent urr reading of 75 or greater                                        Urr reading of 75 or greater,Urr reading of 75 or greater,09-09-2025
G6001007,Esrd patient for whom less than six dialysis sessions have been provided in a   Esrd patient <6 dialysis/mth,Esrd patient <6 dialysis/mth,09-09-2025
G6002008,month,,09-09-2025
G7001007,Pregnancy resulted from rape or incest or pregnancy certified by physician as   Payment limits do not apply,Payment limits do not apply          35-99             2005.1,09-09-2025
G7002008,life threatening,,09-09-2025
G8001007,"Monitored anesthesia care (mac) for deep complex, complicated, or markedly      Monitored anesthesia care",Monitored anesthesia care,09-09-2025
G8002008,invasive surgical procedure,,09-09-2025
G9001007,Monitored anesthesia care for patient who has history of severe                 Mac for at risk patient,Mac for at risk patient,09-09-2025
G9002008,cardio-pulmonary condition,,09-09-2025
GA001007,"Waiver of liability statement issued as required by payer policy, individual    Liability waiver ind case",Liability waiver ind case,09-09-2025
GA002008,case,,09-09-2025
GB001007,Claim being re-submitted for payment because it is no longer covered under a    Claim resubmitted,Claim resubmitted,09-09-2025
GB002008,global payment demonstration,,09-09-2025
GC001007,This service has been performed in part by a resident under the direction of a  Resident/teaching phys serv,Resident/teaching phys serv                            3350.5  4116,09-09-2025
GC002008,teaching physician,,09-09-2025
GD001007,Units of service exceeds medically unlikely edit value and represents           Unit of service > mue value,Unit of service > mue value,09-09-2025
GD002008,reasonable and necessary services,,09-09-2025
GE001007,This service has been performed by a resident without the presence of a         Resident prim care exception,Resident prim care exception                           4116,09-09-2025
GE002008,teaching physician under the primary care exception,,09-09-2025
GF001007,"Non-physician (e.g. nurse practitioner (np), certified registered nurse         Nonphysician serv c a hosp",Nonphysician serv c a hosp,09-09-2025
GF002008,"anesthetist (crna), certified registered nurse (crn), clinical nurse specialist",,09-09-2025
GF003008,"(cns), physician assistant (pa)) services in a critical access hospital",,09-09-2025
GG001007,Performance and payment of a screening mammogram and diagnostic mammogram on    Payment screen mam + diagmam,Payment screen mam + diagmam,09-09-2025
GG002008,"the same patient, same day",,09-09-2025
GH001007,Diagnostic mammogram converted from screening mammogram on same day             Diag mammo to screening mamo,Diag mammo to screening mamo,09-09-2025
GJ001007,"""opt out"" physician or practitioner emergency or urgent service                 Opt out provider of er srvc",Opt out provider of er srvc,09-09-2025
GK001007,Reasonable and necessary item/service associated with a ga or gz modifier       Actual item/service ordered,Actual item/service ordered,09-09-2025
GL001007,"Medically unnecessary upgrade provided instead of non-upgraded item, no charge, Upgraded item, no charge","Upgraded item, no charge",09-09-2025
GL002008,no advance beneficiary notice (abn),,09-09-2025
GM001007,Multiple patients on one ambulance trip                                         Multiple transports,Multiple transports,09-09-2025
GN001007,Services delivered under an outpatient speech language pathology plan of care   Op speech language service,Op speech language service,09-09-2025
GO001007,Services delivered under an outpatient occupational therapy plan of care        Op occupational therapy serv,Op occupational therapy serv,09-09-2025
GP001007,Services delivered under an outpatient physical therapy plan of care            Op pt services,Op pt services,09-09-2025
GQ001007,Via asynchronous telecommunications system                                      Telehealth store and forward,Telehealth store and forward,09-09-2025
GR001007,This service was performed in whole or in part by a resident in a department of Service by va resident,Service by va resident,09-09-2025
GR002008,"veterans affairs medical center or clinic, supervised in accordance with va",,09-09-2025
GR003008,policy,,09-09-2025
GS001007,Dosage of erythropoietin stimulating agent has been reduced and maintained in   Epo/darbepoietin reduced 25%,Epo/darbepoietin reduced 25%                           4273.1,09-09-2025
GS002008,response to hematocrit or hemoglobin level,,09-09-2025
GT001007,Via interactive audio and video telecommunication systems                       Interactivetelecommunication,Interactivetelecommunication,09-09-2025
GU001007,"Waiver of liability statement issued as required by payer policy, routine noticeLiability waiver rout notice",eLiability waiver rout notice,09-09-2025
GV001007,Attending physician not employed or paid under arrangement by the patient's     Attending phys not hospice,Attending phys not hospice                             4175-5,09-09-2025
GV002008,hospice provider,,09-09-2025
GW001007,Service not related to the hospice patient's terminal condition                 Service unrelated to term co,Service unrelated to term co                           4175-5,09-09-2025
GX001007,"Notice of liability issued, voluntary under payer policy                        Voluntary liability notice",Voluntary liability notice,09-09-2025
GY001007,"Item or service statutorily excluded, does not meet the definition of any       Statutorily excluded",Statutorily excluded,09-09-2025
GY002008,"medicare benefit or, for non-medicare insurers, is not a contract benefit",,09-09-2025
GZ001007,Item or service expected to be denied as not reasonable and necessary           Not reasonable and necessary,Not reasonable and necessary                           2000,09-09-2025
H9001007,Court-ordered                                                                   Court-ordered,Court-ordered,09-09-2025
HA001007,Child/adolescent program                                                        Child/adolescent program,Child/adolescent program,09-09-2025
HB001007,"Adult program, non geriatric                                                    Adult program non-geriatric",Adult program non-geriatric,09-09-2025
HC001007,"Adult program, geriatric                                                        Adult program geriatric",Adult program geriatric,09-09-2025
HD001007,Pregnant/parenting women's program                                              Pregnant/parenting program,Pregnant/parenting program,09-09-2025
HE001007,Mental health program                                                           Mental health program,Mental health program,09-09-2025
HF001007,Substance abuse program                                                         Substance abuse program,Substance abuse program,09-09-2025
HG001007,Opioid addiction treatment program                                              Opioid addiction tx program,Opioid addiction tx program,09-09-2025
HH001007,Integrated mental health/substance abuse program                                Mental hlth/substance abs pr,Mental hlth/substance abs pr,09-09-2025
HI001007,Integrated mental health and intellectual disability/developmental disabilities Men hlth intel/dev disab pgm,Men hlth intel/dev disab pgm,09-09-2025
HI002008,program,,09-09-2025
HJ001007,Employee assistance program                                                     Employee assistance program,Employee assistance program,09-09-2025
HK001007,Specialized mental health programs for high-risk populations                    Spec hgh rsk mntl hlth pop p,Spec hgh rsk mntl hlth pop p,09-09-2025
HL001007,Intern                                                                          Intern,Intern,09-09-2025
HM001007,Less than bachelor degree level                                                 Less than bachelor degree lv,Less than bachelor degree lv,09-09-2025
HN001007,Bachelors degree level                                                          Bachelors degree level,Bachelors degree level,09-09-2025
HO001007,Masters degree level                                                            Masters degree level,Masters degree level,09-09-2025
HP001007,Doctoral level                                                                  Doctoral level,Doctoral level,09-09-2025
HQ001007,Group setting                                                                   Group setting,Group setting,09-09-2025
HR001007,Family/couple with client present                                               Family/couple w client prsnt,Family/couple w client prsnt,09-09-2025
HS001007,Family/couple without client present                                            Family/couple w/o client prs,Family/couple w/o client prs,09-09-2025
HT001007,Multi-disciplinary team                                                         Multi-disciplinary team,Multi-disciplinary team,09-09-2025
HU001007,Funded by child welfare agency                                                  Child welfare agency funded,Child welfare agency funded,09-09-2025
HV001007,Funded state addictions agency                                                  Funded state addiction agncy,Funded state addiction agncy,09-09-2025
HW001007,Funded by state mental health agency                                            State mntl hlth agncy funded,State mntl hlth agncy funded,09-09-2025
HX001007,Funded by county/local agency                                                   County/local agency funded,County/local agency funded,09-09-2025
HY001007,Funded by juvenile justice agency                                               Funded by juvenile justice,Funded by juvenile justice,09-09-2025
HZ001007,Funded by criminal justice agency                                               Criminal justice agncy fund,Criminal justice agncy fund,09-09-2025
J1001007,Competitive acquisition program no-pay submission for a prescription number     Cap no-pay for prescript num,Cap no-pay for prescript num,09-09-2025
J2001007,"Competitive acquisition program, restocking of emergency drugs after emergency  Cap restock of emerg drugs",Cap restock of emerg drugs,09-09-2025
J2002008,administration,,09-09-2025
J3001007,"Competitive acquisition program (cap), drug not available through cap as        Cap drug unavail thru cap",Cap drug unavail thru cap,09-09-2025
J3002008,"written, reimbursed under average sales price methodology",,09-09-2025
J4001007,Dmepos item subject to dmepos competitive bidding program that is furnished by  Dmepos comp bid furn by hosp,Dmepos comp bid furn by hosp,09-09-2025
J4002008,a hospital upon discharge,,09-09-2025
J5001007,Off-the-shelf orthotic subject to dmepos competitive bidding program that is    Dmepos comp bid fur by pt/ot,Dmepos comp bid fur by pt/ot,09-09-2025
J5002008,furnished as part of a physical therapist or occupational therapist,,09-09-2025
J5003008,professional service,,09-09-2025
JA001007,Administered intravenously                                                      Administered intravenously,Administered intravenously,09-09-2025
JB001007,Administered subcutaneously                                                     Administered subcutaneously,Administered subcutaneously,09-09-2025
JC001007,Skin substitute used as a graft                                                 Skin substitute graft,Skin substitute graft,09-09-2025
JD001007,Skin substitute not used as a graft                                             Skin sub not used as a graft,Skin sub not used as a graft,09-09-2025
JE001007,Administered via dialysate                                                      Administered via dialysate,Administered via dialysate,09-09-2025
JF001007,Compounded drug                                                                 Compounded drug,Compounded drug,09-09-2025
JG001007,"Drug or biological acquired with 340b drug pricing program discount, reported   340b acquired drug",340b acquired drug,09-09-2025
JG002008,for informational purposes,,09-09-2025
JK001007,One month supply or less of drug or biological                                  Drug supply 1 month or less,Drug supply 1 month or less,09-09-2025
JL001007,Three month supply of drug or biological                                        Drug 3 month supply,Drug 3 month supply,09-09-2025
JW001007,Drug amount discarded/not administered to any patient                           Discarded drug not administe,Discarded drug not administe,09-09-2025
JZ001007,Zero drug amount discarded/not administered to any patient                      Zero drug wasted,Zero drug wasted,09-09-2025
K0001007,Lower extremity prosthesis functional level 0 - does not have the ability or    Lwr ext prost functnl lvl 0,Lwr ext prost functnl lvl 0,09-09-2025
K0002008,potential to ambulate or transfer safely with or without assistance and a,,09-09-2025
K0003008,prosthesis does not enhance their quality of life or mobility.,,09-09-2025
K1001007,Lower extremity prosthesis functional level 1 - has the ability or potential to Lwr ext prost functnl lvl 1,Lwr ext prost functnl lvl 1,09-09-2025
K1002008,use a prosthesis for transfers or ambulation on level surfaces at fixed,,09-09-2025
K1003008,cadence. typical of the limited and unlimited household ambulator.,,09-09-2025
K2001007,Lower extremity prosthesis functional level 2 - has the ability or potential    Lwr ext prost functnl lvl 2,Lwr ext prost functnl lvl 2,09-09-2025
K2002008,for ambulation with the ability to traverse low level environmental barriers,,09-09-2025
K2003008,"such as curbs, stairs or uneven surfaces.  typical of the limited community",,09-09-2025
K2004008,ambulator.,,09-09-2025
K3001007,Lower extremity prosthesis functional level 3 - has the ability or potential    Lwr ext prost functnl lvl 3,Lwr ext prost functnl lvl 3,09-09-2025
K3002008,for ambulation with variable cadence.  typical of the community ambulator who,,09-09-2025
K3003008,has the ability to transverse most environmental barriers and may have,,09-09-2025
K3004008,"vocational, therapeutic, or exercise activity that demands prosthetic",,09-09-2025
K3005008,utilization beyond simple locomotion.,,09-09-2025
K4001007,Lower extremity prosthesis functional level 4 - has the ability or potential    Lwr ext prost functnl lvl 4,Lwr ext prost functnl lvl 4,09-09-2025
K4002008,"for prosthetic ambulation that exceeds the basic ambulation skills, exhibiting",,09-09-2025
K4003008,"high impact, stress, or energy levels, typical of the prosthetic demands of the",,09-09-2025
K4004008,"child, active adult, or athlete.",,09-09-2025
KA001007,Add on option/accessory for wheelchair                                          Wheelchair add-on option/acc,Wheelchair add-on option/acc,09-09-2025
KB001007,"Beneficiary requested upgrade for abn, more than 4 modifiers identified on claim>4 modifiers on claim",m>4 modifiers on claim,09-09-2025
KC001007,Replacement of special power wheelchair interface                               Repl special pwr wc intrface,Repl special pwr wc intrface,09-09-2025
KD001007,Drug or biological infused through dme                                          Drug/biological dme infused,Drug/biological dme infused,09-09-2025
KE001007,Bid under round one of the dmepos competitive bidding program for use with      Bid under round 1 dmepos cb,Bid under round 1 dmepos cb,09-09-2025
KE002008,non-competitive bid base equipment,,09-09-2025
KF001007,Item designated by fda as class iii device                                      Fda class iii device,Fda class iii device,09-09-2025
KG001007,Dmepos item subject to dmepos competitive bidding program number 1              Dmepos comp bid prgm no 1,Dmepos comp bid prgm no 1,09-09-2025
KH001007,"Dmepos item, initial claim, purchase or first month rental                      Dmepos ini clm, pur/1 mo rnt","Dmepos ini clm, pur/1 mo rnt",09-09-2025
KI001007,"Dmepos item, second or third month rental                                       Dmepos 2nd or 3rd mo rental",Dmepos 2nd or 3rd mo rental,09-09-2025
KJ001007,"Dmepos item, parenteral enteral nutrition (pen) pump or capped rental, months   Dmepos pen pmp or 4-15mo rnt",Dmepos pen pmp or 4-15mo rnt,09-09-2025
KJ002008,four to fifteen,,09-09-2025
KK001007,Dmepos item subject to dmepos competitive bidding program number 2              Dmepos comp bid prgm no 2,Dmepos comp bid prgm no 2,09-09-2025
KL001007,Dmepos item delivered via mail                                                  Dmepos mailorder comp bid,Dmepos mailorder comp bid,09-09-2025
KM001007,Replacement of facial prosthesis including new impression/moulage               Rplc facial prosth new imp,Rplc facial prosth new imp,09-09-2025
KN001007,Replacement of facial prosthesis using previous master model                    Rplc facial prosth old mod,Rplc facial prosth old mod,09-09-2025
KO001007,Single drug unit dose formulation                                               Single drug unit dose form,Single drug unit dose form,09-09-2025
KP001007,First drug of a multiple drug unit dose formulation                             First drug of multi drug u d,First drug of multi drug u d,09-09-2025
KQ001007,Second or subsequent drug of a multiple drug unit dose formulation              2nd/subsqnt drg multi drg ud,2nd/subsqnt drg multi drg ud,09-09-2025
KR001007,"Rental item, billing for partial month                                          Rental item partial month",Rental item partial month,09-09-2025
KS001007,Glucose monitor supply for diabetic beneficiary not treated with insulin        Glucose monitor supply,Glucose monitor supply,09-09-2025
KT001007,Beneficiary resides in a competitive bidding area and travels outside that      Item from noncontract supply,Item from noncontract supply,09-09-2025
KT002008,competitive bidding area and receives a competitive bid item,,09-09-2025
KU001007,Dmepos item subject to dmepos competitive bidding program number 3              Dmepos comp bid prgm no 3,Dmepos comp bid prgm no 3,09-09-2025
KV001007,"Dmepos item subject to dmepos competitive bidding program that is furnished as  Dmepos item, profession serv","Dmepos item, profession serv",09-09-2025
KV002008,part of a professional service,,09-09-2025
KW001007,Dmepos item subject to dmepos competitive bidding program number 4              Dmepos comp bid prgm no 4,Dmepos comp bid prgm no 4,09-09-2025
KX001007,Requirements specified in the medical policy have been met                      Documentation on file,Documentation on file,09-09-2025
KY001007,Dmepos item subject to dmepos competitive bidding program number 5              Dmepos comp bid prgm no 5,Dmepos comp bid prgm no 5,09-09-2025
KZ001007,New coverage not implemented by managed care                                    New cov not implement by m+c,New cov not implement by m+c,09-09-2025
L1001007,Provider attestation that the hospital laboratory test(s) is not packaged under Separately payable lab test,Separately payable lab test,09-09-2025
L1002008,the hospital opps,,09-09-2025
LC001007,Left circumflex coronary artery                                                 Lft circum coronary artery,Lft circum coronary artery,09-09-2025
LD001007,Left anterior descending coronary artery                                        Left ant des coronary artery,Left ant des coronary artery,09-09-2025
