Code,Description,Last Updated
167014,Neoplasm of urinary system,09-12-2025
168016,Neoplasm of kidney,09-12-2025
168016,Neoplasm of kidney,09-12-2025
169012,Neoplasm of renal pelvis,09-12-2025
169012,Neoplasm of renal pelvis,09-12-2025
170013,Neoplasm of ureter,09-12-2025
170013,Neoplasm of ureter,09-12-2025
171012,Neoplasm of urethra,09-12-2025
171012,Neoplasm of urethra,09-12-2025
172017,Neoplasm of paraurethral glands,09-12-2025
172017,Neoplasm of paraurethral glands,09-12-2025
173010,Neoplasm of bladder,09-12-2025
173010,Neoplasm of bladder,09-12-2025
174016,Neoplasm of trigone of urinary bladder,09-12-2025
174016,Neoplasm of trigone of urinary bladder,09-12-2025
175015,Neoplasm of apex of urinary bladder,09-12-2025
175015,Neoplasm of apex of urinary bladder,09-12-2025
176019,Neoplasm of lateral wall of urinary bladder,09-12-2025
176019,Neoplasm of lateral wall of urinary bladder,09-12-2025
177011,Neoplasm of anterior wall of urinary bladder,09-12-2025
177011,Neoplasm of anterior wall of urinary bladder,09-12-2025
178018,Neoplasm of posterior wall of urinary bladder,09-12-2025
178018,Neoplasm of posterior wall of urinary bladder,09-12-2025
179014,Neoplasm of urinary bladder neck,09-12-2025
179014,Neoplasm of urinary bladder neck,09-12-2025
180012,Neoplasm of ureteric orifice of urinary bladder,09-12-2025
180012,Neoplasm of ureteric orifice of urinary bladder,09-12-2025
181011,Neoplasm of urachus,09-12-2025
181011,Neoplasm of urachus,09-12-2025
183014,Neoplasm of male genital organ,09-12-2025
183014,Neoplasm of male genital organ,09-12-2025
184015,Neoplasm of penis,09-12-2025
184015,Neoplasm of penis,09-12-2025
185019,Neoplasm of prepuce,09-12-2025
185019,Neoplasm of prepuce,09-12-2025
186018,Neoplasm of glans penis,09-12-2025
186018,Neoplasm of glans penis,09-12-2025
187010,Neoplasm of body of penis,09-12-2025
187010,Neoplasm of body of penis,09-12-2025
188017,Neoplasm of testis,09-12-2025
188017,Neoplasm of testis,09-12-2025
189013,Neoplasm of undescended testis,09-12-2025
189013,Neoplasm of undescended testis,09-12-2025
190016,Neoplasm of epididymis,09-12-2025
190016,Neoplasm of epididymis,09-12-2025
191017,Neoplasm of vas deferens,09-12-2025
191017,Neoplasm of vas deferens,09-12-2025
192012,Neoplasm of spermatic cord,09-12-2025
192012,Neoplasm of spermatic cord,09-12-2025
193019,Neoplasm of scrotum,09-12-2025
193019,Neoplasm of scrotum,09-12-2025
194013,Neoplasm of prostate,09-12-2025
194013,Neoplasm of prostate,09-12-2025
195014,Neoplasm of female genital organ,09-12-2025
195014,Neoplasm of female genital organ,09-12-2025
196010,Neoplasm of uterus,09-12-2025
196010,Neoplasm of uterus,09-12-2025
197018,Neoplasm of body of uterus,09-12-2025
197018,Neoplasm of body of uterus,09-12-2025
198011,Neoplasm of myometrium,09-12-2025
198011,Neoplasm of myometrium,09-12-2025
199015,Neoplasm of isthmus of uterus,09-12-2025
199015,Neoplasm of isthmus of uterus,09-12-2025
200017,Neoplasm of endocervix,09-12-2025
200017,Neoplasm of endocervix,09-12-2025
201018,Neoplasm of exocervix,09-12-2025
201018,Neoplasm of exocervix,09-12-2025
202013,Neoplasm of fundus uteri,09-12-2025
202013,Neoplasm of fundus uteri,09-12-2025
203015,Neoplasm of uterine adnexa,09-12-2025
203015,Neoplasm of uterine adnexa,09-12-2025
204014,Neoplasm of fallopian tube,09-12-2025
204014,Neoplasm of fallopian tube,09-12-2025
205010,Neoplasm of broad ligament,09-12-2025
205010,Neoplasm of broad ligament,09-12-2025
206011,Neoplasm of parametrium,09-12-2025
206011,Neoplasm of parametrium,09-12-2025
207019,Neoplasm of round ligament of uterus,09-12-2025
207019,Neoplasm of round ligament of uterus,09-12-2025
208012,Neoplasm of placenta,09-12-2025
208012,Neoplasm of placenta,09-12-2025
209016,Neoplasm of vagina,09-12-2025
209016,Neoplasm of vagina,09-12-2025
210014,Neoplasm of vulva,09-12-2025
210014,Neoplasm of vulva,09-12-2025
211013,Neoplasm of labia majora,09-12-2025
211013,Neoplasm of labia majora,09-12-2025
212018,Neoplasm of labia minora,09-12-2025
212018,Neoplasm of labia minora,09-12-2025
213011,Neoplasm of clitoris,09-12-2025
213011,Neoplasm of clitoris,09-12-2025
214017,Neoplasm of breast,09-12-2025
214017,Neoplasm of breast,09-12-2025
215016,Neoplasm of female breast,09-12-2025
215016,Neoplasm of female breast,09-12-2025
216015,Neoplasm of nipple of female breast,09-12-2025
216015,Neoplasm of nipple of female breast,09-12-2025
217012,Neoplasm of areola of female breast,09-12-2025
217012,Neoplasm of areola of female breast,09-12-2025
218019,Neoplasm of central portion of female breast,09-12-2025
218019,Neoplasm of central portion of female breast,09-12-2025
219010,Neoplasm of upper inner quadrant of female breast,09-12-2025
219010,Neoplasm of upper inner quadrant of female breast,09-12-2025
220016,Neoplasm of lower inner quadrant of female breast,09-12-2025
220016,Neoplasm of lower inner quadrant of female breast,09-12-2025
221017,Neoplasm of upper outer quadrant of female breast,09-12-2025
221017,Neoplasm of upper outer quadrant of female breast,09-12-2025
222012,Neoplasm of lower outer quadrant of female breast,09-12-2025
222012,Neoplasm of lower outer quadrant of female breast,09-12-2025
223019,Neoplasm of axillary tail of female breast,09-12-2025
223019,Neoplasm of axillary tail of female breast,09-12-2025
224013,Neoplasm of ectopic female breast tissue,09-12-2025
224013,Neoplasm of ectopic female breast tissue,09-12-2025
225014,Neoplasm of male breast,09-12-2025
225014,Neoplasm of male breast,09-12-2025
226010,Neoplasm of nipple of male breast,09-12-2025
226010,Neoplasm of nipple of male breast,09-12-2025
227018,Neoplasm of areola of male breast,09-12-2025
227018,Neoplasm of areola of male breast,09-12-2025
228011,Neoplasm of ectopic male breast tissue,09-12-2025
228011,Neoplasm of ectopic male breast tissue,09-12-2025
229015,Subdural hemorrhage due to birth trauma,09-12-2025
229015,Subdural hemorrhage due to birth trauma,09-12-2025
231012,Separation anxiety,09-12-2025
231012,Separation anxiety,09-12-2025
232017,Hypoxic-ischemic brain injury,09-12-2025
232017,Hypoxic-ischemic brain injury,09-12-2025
233010,Perinatal anoxic-ischemic brain injury,09-12-2025
233010,Perinatal anoxic-ischemic brain injury,09-12-2025
234016,Excessive cerumen in ear canal,09-12-2025
234016,Excessive cerumen in ear canal,09-12-2025
235015,Cerebellopontine angle tumor,09-12-2025
235015,Cerebellopontine angle tumor,09-12-2025
236019,Cerebellopontine angle meningioma,09-12-2025
236019,Cerebellopontine angle meningioma,09-12-2025
237011,Acoustic neuroma,09-12-2025
237011,Acoustic neuroma,09-12-2025
238018,Neoplasm of nervous system,09-12-2025
238018,Neoplasm of nervous system,09-12-2025
239014,Neoplasm of central nervous system,09-12-2025
239014,Neoplasm of central nervous system,09-12-2025
240011,Neoplasm of brain,09-12-2025
240011,Neoplasm of brain,09-12-2025
241010,Neoplasm of cerebrum,09-12-2025
241010,Neoplasm of cerebrum,09-12-2025
242015,Neoplasm of frontal lobe,09-12-2025
242015,Neoplasm of frontal lobe,09-12-2025
243013,Neoplasm of temporal lobe,09-12-2025
243013,Neoplasm of temporal lobe,09-12-2025
244019,Neoplasm of parietal lobe,09-12-2025
244019,Neoplasm of parietal lobe,09-12-2025
245018,Neoplasm of occipital lobe,09-12-2025
245018,Neoplasm of occipital lobe,09-12-2025
246017,Neoplasm of cerebral ventricle,09-12-2025
246017,Neoplasm of cerebral ventricle,09-12-2025
247014,Neoplasm of cerebral meninges,09-12-2025
247014,Neoplasm of cerebral meninges,09-12-2025
248016,Neoplasm of cerebellum,09-12-2025
248016,Neoplasm of cerebellum,09-12-2025
249012,Neoplasm of brain stem,09-12-2025
249012,Neoplasm of brain stem,09-12-2025
250012,Neoplasm of spinal cord,09-12-2025
250012,Neoplasm of spinal cord,09-12-2025
251011,Neoplasm of cauda equina,09-12-2025
251011,Neoplasm of cauda equina,09-12-2025
252016,Neoplasm of spinal meninges,09-12-2025
252016,Neoplasm of spinal meninges,09-12-2025
253014,Neoplasm of meninges,09-12-2025
253014,Neoplasm of meninges,09-12-2025
254015,Neoplasm of cranial nerve,09-12-2025
254015,Neoplasm of cranial nerve,09-12-2025
255019,Neoplasm of olfactory nerve,09-12-2025
255019,Neoplasm of olfactory nerve,09-12-2025
256018,Neoplasm of optic nerve,09-12-2025
256018,Neoplasm of optic nerve,09-12-2025
257010,Neoplasm of oculomotor nerve,09-12-2025
257010,Neoplasm of oculomotor nerve,09-12-2025
258017,Neoplasm of trochlear nerve,09-12-2025
258017,Neoplasm of trochlear nerve,09-12-2025
259013,Neoplasm of trigeminal nerve,09-12-2025
259013,Neoplasm of trigeminal nerve,09-12-2025
260015,Neoplasm of abducens nerve,09-12-2025
260015,Neoplasm of abducens nerve,09-12-2025
261016,Neoplasm of facial nerve,09-12-2025
261016,Neoplasm of facial nerve,09-12-2025
262011,Neoplasm of acoustic nerve,09-12-2025
262011,Neoplasm of acoustic nerve,09-12-2025
263018,Neoplasm of glossopharyngeal nerve,09-12-2025
263018,Neoplasm of glossopharyngeal nerve,09-12-2025
264012,Neoplasm of vagus nerve,09-12-2025
264012,Neoplasm of vagus nerve,09-12-2025
265013,Neoplasm of accessory nerve,09-12-2025
265013,Neoplasm of accessory nerve,09-12-2025
266014,Neoplasm of hypoglossal nerve,09-12-2025
266014,Neoplasm of hypoglossal nerve,09-12-2025
267017,Neoplasm of autonomic nerve,09-12-2025
267017,Neoplasm of autonomic nerve,09-12-2025
268010,Neoplasm of peripheral nerve,09-12-2025
268010,Neoplasm of peripheral nerve,09-12-2025
269019,Neoplasm of peripheral nerve of head AND/OR neck,09-12-2025
270018,Neoplasm of peripheral nerves of head,09-12-2025
270018,Neoplasm of peripheral nerves of head,09-12-2025
271019,Neoplasm of peripheral nerves of face,09-12-2025
271019,Neoplasm of peripheral nerves of face,09-12-2025
272014,Neoplasm of peripheral nerves of neck,09-12-2025
272014,Neoplasm of peripheral nerves of neck,09-12-2025
274010,Neoplasm of peripheral nerves of upper limb,09-12-2025
274010,Neoplasm of peripheral nerves of upper limb,09-12-2025
275011,Neoplasm of peripheral nerves of shoulder,09-12-2025
275011,Neoplasm of peripheral nerves of shoulder,09-12-2025
277015,Neoplasm of peripheral nerves of lower limb,09-12-2025
277015,Neoplasm of peripheral nerves of lower limb,09-12-2025
278013,Neoplasm of peripheral nerves of hip,09-12-2025
278013,Neoplasm of peripheral nerves of hip,09-12-2025
279017,Neoplasm of peripheral nerves of thorax,09-12-2025
279017,Neoplasm of peripheral nerves of thorax,09-12-2025
280019,Neoplasm of peripheral nerves of abdomen,09-12-2025
280019,Neoplasm of peripheral nerves of abdomen,09-12-2025
281015,Neoplasm of peripheral nerves of pelvis,09-12-2025
281015,Neoplasm of peripheral nerves of pelvis,09-12-2025
281015,Neoplasm of peripheral nerves of pelvis,09-12-2025
282010,Neoplasm of peripheral nerves of trunk,09-12-2025
282010,Neoplasm of peripheral nerves of trunk,09-12-2025
283017,Neoplasm of eye,09-12-2025
283017,Neoplasm of eye,09-12-2025
284011,Neoplasm of conjunctiva,09-12-2025
284011,Neoplasm of conjunctiva,09-12-2025
285012,Neoplasm of cornea,09-12-2025
285012,Neoplasm of cornea,09-12-2025
286013,Neoplasm of ciliary body,09-12-2025
286013,Neoplasm of ciliary body,09-12-2025
287016,Neoplasm of sclera,09-12-2025
287016,Neoplasm of sclera,09-12-2025
288014,Neoplasm of uveal tract,09-12-2025
288014,Neoplasm of uveal tract,09-12-2025
289018,Neoplasm of choroid,09-12-2025
289018,Neoplasm of choroid,09-12-2025
290010,Neoplasm of retina,09-12-2025
290010,Neoplasm of retina,09-12-2025
291014,Neoplasm of orbit,09-12-2025
291014,Neoplasm of orbit,09-12-2025
292019,Neoplasm of lacrimal gland,09-12-2025
292019,Neoplasm of lacrimal gland,09-12-2025
293012,Neoplasm of lacrimal duct,09-12-2025
293012,Neoplasm of lacrimal duct,09-12-2025
294018,Neoplasm of middle ear,09-12-2025
294018,Neoplasm of middle ear,09-12-2025
296016,Neoplasm of mastoid air cells,09-12-2025
296016,Neoplasm of mastoid air cells,09-12-2025
297013,Disorder of endocrine receptor,09-12-2025
297013,Disorder of endocrine receptor,09-12-2025
299011,Diabetic sensory polyneuropathy,09-12-2025
299011,Diabetic sensory polyneuropathy,09-12-2025
299011,Diabetic sensory polyneuropathy,09-12-2025
300015,Lipoatrophic diabetes,09-12-2025
300015,Lipoatrophic diabetes,09-12-2025
301016,Diabetic renal disease,09-12-2025
301016,Diabetic renal disease,09-12-2025
302011,Diabetic peripheral angiopathy,09-12-2025
302011,Diabetic peripheral angiopathy,09-12-2025
303018,Neoplasm of endocrine gland,09-12-2025
303018,Neoplasm of endocrine gland,09-12-2025
304012,Neoplasm of multiple endocrine glands,09-12-2025
304012,Neoplasm of multiple endocrine glands,09-12-2025
306014,Neoplasm of thyroid gland,09-12-2025
306014,Neoplasm of thyroid gland,09-12-2025
307017,Neoplasm of thyroglossal duct,09-12-2025
307017,Neoplasm of thyroglossal duct,09-12-2025
308010,Neoplasm of parathyroid gland,09-12-2025
308010,Neoplasm of parathyroid gland,09-12-2025
309019,Neoplasm of adrenal gland,09-12-2025
309019,Neoplasm of adrenal gland,09-12-2025
310012,Neoplasm of adrenal cortex,09-12-2025
310012,Neoplasm of adrenal cortex,09-12-2025
311011,Neoplasm of adrenal medulla,09-12-2025
311011,Neoplasm of adrenal medulla,09-12-2025
312016,Neoplasm of pituitary gland,09-12-2025
312016,Neoplasm of pituitary gland,09-12-2025
313014,Neoplasm of craniopharyngeal duct,09-12-2025
313014,Neoplasm of craniopharyngeal duct,09-12-2025
314015,Neoplasm of pineal gland,09-12-2025
314015,Neoplasm of pineal gland,09-12-2025
315019,Neoplasm of paraganglion,09-12-2025
315019,Neoplasm of paraganglion,09-12-2025
316018,Neoplasm of carotid body,09-12-2025
316018,Neoplasm of carotid body,09-12-2025
317010,Neoplasm of aortic body,09-12-2025
317010,Neoplasm of aortic body,09-12-2025
318017,Neoplasm of glomus jugulare,09-12-2025
318017,Neoplasm of glomus jugulare,09-12-2025
319013,Neoplasm of para-aortic body,09-12-2025
319013,Neoplasm of para-aortic body,09-12-2025
320019,Neoplasm of coccygeal body,09-12-2025
320019,Neoplasm of coccygeal body,09-12-2025
321015,Abnormally increased cellular element of blood,09-12-2025
321015,Abnormally increased cellular element of blood,09-12-2025
322010,Pancytopenia,09-12-2025
322010,Pancytopenia,09-12-2025
323017,Bone marrow disorder,09-12-2025
323017,Bone marrow disorder,09-12-2025
324011,Cytochrome b>3< deficiency,09-12-2025
324011,Cytochrome b>3< deficiency,09-12-2025
325012,Toxic methemoglobinemia with cyanosis,09-12-2025
325012,Toxic methemoglobinemia with cyanosis,09-12-2025
326013,Hereditary hemoglobinopathy due to globin chain mutation,09-12-2025
326013,Hereditary hemoglobinopathy due to globin chain mutation,09-12-2025
327016,Acquired hemoglobinopathy,09-12-2025
327016,Acquired hemoglobinopathy,09-12-2025
328014,Sickle cell anemia,09-12-2025
328014,Sickle cell anemia,09-12-2025
329018,Sickle cell-beta-thalassemia,09-12-2025
329018,Sickle cell-beta-thalassemia,09-12-2025
330011,Sickle cell-beta^+^-thalassemia,09-12-2025
330011,Sickle cell-beta^+^-thalassemia,09-12-2025
330011,Sickle cell-beta^+^-thalassemia,09-12-2025
331010,Sickle cell-beta^0^-thalassemia,09-12-2025
331010,Sickle cell-beta^0^-thalassemia,09-12-2025
332015,Sickle cell-delta beta^0^-thalassemia,09-12-2025
332015,Sickle cell-delta beta^0^-thalassemia,09-12-2025
333013,Sickle cell anemia with coexistent alpha-thalassemia,09-12-2025
333013,Sickle cell anemia with coexistent alpha-thalassemia,09-12-2025
334019,Sickle cell trait with coexistent alpha-thalassemia,09-12-2025
334019,Sickle cell trait with coexistent alpha-thalassemia,09-12-2025
335018,Sickle cell-hemoglobin Lepore disease,09-12-2025
336017,Sickle cell-Hemoglobin O Arab disease,09-12-2025
337014,Primary (idiopathic) autoimmune hemolytic anemia,09-12-2025
337014,Primary (idiopathic) autoimmune hemolytic anemia,09-12-2025
338016,Secondary autoimmune hemolytic anemia,09-12-2025
338016,Secondary autoimmune hemolytic anemia,09-12-2025
339012,Primary (idiopathic) warm autoimmune hemolytic anemia,09-12-2025
339012,Primary (idiopathic) warm autoimmune hemolytic anemia,09-12-2025
340014,Secondary warm autoimmune hemolytic anemia,09-12-2025
340014,Secondary warm autoimmune hemolytic anemia,09-12-2025
341013,Post-infectious cold agglutinin disease,09-12-2025
341013,Post-infectious cold agglutinin disease,09-12-2025
342018,Cold agglutinin disease due to Epstein-Barr virus infection,09-12-2025
342018,Cold agglutinin disease due to Epstein-Barr virus infection,09-12-2025
343011,Chronic cold agglutinin disease,09-12-2025
343011,Chronic cold agglutinin disease,09-12-2025
344017,Chronic cold agglutinin disease associated with B-cell neoplasm,09-12-2025
345016,Paroxysmal cold hemoglobinuria,09-12-2025
345016,Paroxysmal cold hemoglobinuria,09-12-2025
346015,Paroxysmal cold hemoglobinuria associated with tertiary syphilis,09-12-2025
346015,Paroxysmal cold hemoglobinuria associated with tertiary syphilis,09-12-2025
347012,Drug-induced immune hemolytic anemia,09-12-2025
347012,Drug-induced immune hemolytic anemia,09-12-2025
348019,"Drug-induced immune hemolytic anemia, hapten type",09-12-2025
348019,"Drug-induced immune hemolytic anemia, hapten type",09-12-2025
349010,"Autoimmune hemolytic anemia, categorized by antibody class AND/OR complement",09-12-2025
350010,Erythrocytosis,09-12-2025
350010,Erythrocytosis,09-12-2025
351014,Erythrocytosis due to cyanotic congenital heart disease,09-12-2025
351014,Erythrocytosis due to cyanotic congenital heart disease,09-12-2025
352019,Chronic carbon monoxide intoxication,09-12-2025
352019,Chronic carbon monoxide intoxication,09-12-2025
353012,Familial erythrocytosis due to diphosphoglycerate mutase deficiency,09-12-2025
353012,Familial erythrocytosis due to diphosphoglycerate mutase deficiency,09-12-2025
354018,Familial polycythemia vera,09-12-2025
354018,Familial polycythemia vera,09-12-2025
355017,Stress neutrophilia,09-12-2025
355017,Stress neutrophilia,09-12-2025
356016,Histiocytic syndrome,09-12-2025
356016,Histiocytic syndrome,09-12-2025
357013,Hemophagocytic syndrome,09-12-2025
357013,Hemophagocytic syndrome,09-12-2025
358015,Malignant histiocytic disorder,09-12-2025
358015,Malignant histiocytic disorder,09-12-2025
359011,Immunoproliferative disorder,09-12-2025
359011,Immunoproliferative disorder,09-12-2025
360018,Allergic disorder,09-12-2025
360018,Allergic disorder,09-12-2025
361019,Disorder of hemostasis,09-12-2025
361019,Disorder of hemostasis,09-12-2025
362014,Superficial lymphadenopathy,09-12-2025
362014,Superficial lymphadenopathy,09-12-2025
363016,Deep lymphadenopathy,09-12-2025
363016,Deep lymphadenopathy,09-12-2025
364010,Occipital lymphadenopathy,09-12-2025
364010,Occipital lymphadenopathy,09-12-2025
365011,Posterior auricular lymphadenopathy,09-12-2025
365011,Posterior auricular lymphadenopathy,09-12-2025
366012,Anterior auricular lymphadenopathy,09-12-2025
366012,Anterior auricular lymphadenopathy,09-12-2025
367015,Inferior auricular lymphadenopathy,09-12-2025
367015,Inferior auricular lymphadenopathy,09-12-2025
368013,Parotid lymphadenopathy,09-12-2025
368013,Parotid lymphadenopathy,09-12-2025
369017,Facial lymphadenopathy,09-12-2025
369017,Facial lymphadenopathy,09-12-2025
370016,Submandibular lymphadenopathy,09-12-2025
370016,Submandibular lymphadenopathy,09-12-2025
371017,Submental lymphadenopathy,09-12-2025
371017,Submental lymphadenopathy,09-12-2025
372012,Mandibular lymphadenopathy,09-12-2025
372012,Mandibular lymphadenopathy,09-12-2025
373019,Submaxillary lymphadenopathy,09-12-2025
373019,Submaxillary lymphadenopathy,09-12-2025
374013,Cervical lymphadenopathy,09-12-2025
374013,Cervical lymphadenopathy,09-12-2025
375014,Lateral cervical lymphadenopathy,09-12-2025
375014,Lateral cervical lymphadenopathy,09-12-2025
376010,Supraclavicular lymphadenopathy,09-12-2025
376010,Supraclavicular lymphadenopathy,09-12-2025
377018,Jugular lymphadenopathy,09-12-2025
377018,Jugular lymphadenopathy,09-12-2025
378011,Anterior cervical lymphadenopathy,09-12-2025
378011,Anterior cervical lymphadenopathy,09-12-2025
379015,Retropharyngeal lymphadenopathy,09-12-2025
379015,Retropharyngeal lymphadenopathy,09-12-2025
380017,Prelaryngeal lymphadenopathy,09-12-2025
380017,Prelaryngeal lymphadenopathy,09-12-2025
381018,Delphian lymphadenopathy,09-12-2025
382013,Pretracheal lymphadenopathy,09-12-2025
382013,Pretracheal lymphadenopathy,09-12-2025
383015,Infraclavicular lymphadenopathy,09-12-2025
383015,Infraclavicular lymphadenopathy,09-12-2025
384014,Scalene lymphadenopathy,09-12-2025
384014,Scalene lymphadenopathy,09-12-2025
385010,Thoracic lymphadenopathy,09-12-2025
385010,Thoracic lymphadenopathy,09-12-2025
386011,Prevertebral lymphadenopathy,09-12-2025
386011,Prevertebral lymphadenopathy,09-12-2025
387019,Prepericardial lymphadenopathy,09-12-2025
387019,Prepericardial lymphadenopathy,09-12-2025
388012,Lateral pericardial lymphadenopathy,09-12-2025
388012,Lateral pericardial lymphadenopathy,09-12-2025
389016,Pulmonary lymphadenopathy,09-12-2025
389016,Pulmonary lymphadenopathy,09-12-2025
390013,Bronchopulmonary lymphadenopathy,09-12-2025
390013,Bronchopulmonary lymphadenopathy,09-12-2025
391012,Tracheobronchial lymphadenopathy,09-12-2025
391012,Tracheobronchial lymphadenopathy,09-12-2025
392017,Superior tracheobronchial lymphadenopathy,09-12-2025
